Category,Item,Description,Updated Price,Current Shop Price,Original price,Extra,30%,35%,40%,,Updated Website - Collection,Updated Website - Delivery,Current Website,,delivery,current delivery,Uber,,,,,,,,,,
,EXTRA CHICKEN MEAT,Add extra chicken meat to any souvlaki,$3.00 ,$3.50 ,$1.41 ,,$4.23 ,$3.95 ,$3.53 ,,$3.30 ,$3.50 ,,3.3,$3.45 ,$4.03 ,$4.29 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,$0.00 ,,,,,,,,,,
STEAK SANDWICH,PLAIN STEAK,"Gourmet Steak, Lettuce, & Butter, Tomato Sauce",$10.10 ,9.5,3.54,,$10.62 ,$9.91 ,$8.85 ,,$11.20 ,$11.70 ,$11.00 ,11.11,$11.62 ,$11.50 ,$14.56 ,,,,,,,,,,
,CLASSIC STEAK,"Gourmet Steak, Cheese, Tomato, Red Onion, Lettuce, & Butter, Tomato Sauce",$11.80 ,10,3.54,1.7,$12.32 ,$11.61 ,$10.55 ,,$13.00 ,$13.60 ,$12.50 ,12.98,$13.57 ,$13.30 ,$16.90 ,,,,,,,,,,
,CLASSIC STEAK LOT,"Gourmet Steak, Egg, Bacon, Cheese, Tomato, Red Onion, Lettuce, & Butter, Tomato Sauce",$13.80 ,13,3.54,3.7,$14.32 ,$13.61 ,$12.55 ,,$15.20 ,$15.90 ,$14.50 ,15.18,$15.87 ,$15.50 ,$19.76 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,$0.00 ,,,,,,,,,,
SNACK PACK,Chicken Snack Pack,"Delicious chicken yiros meat with chips and cheese, topped with chilli, barbecue and homemade garlic sauce.",$12.10 ,$16.00,$3.71,$0.80,$11.92 ,$11.18 ,$10.06 ,,$13.40 ,$14.00 ,$13.80 ,13.31,$13.92 ,$14.40 ,$17.42 ,,,,,,,,,,
,Lamb Snack Pack,"Delicious lamb yiros meat with chips and cheese, topped with chilli, barbecue and homemade garlic sauce.",$15.20 ,$16.00,$5.11,$0.80,$16.12 ,$15.10 ,$13.56 ,,$16.80 ,$17.50 ,$17.10 ,16.72,$17.48 ,$17.85 ,$21.84 ,,,,,,,,,,
,Mix Snack Pack,"Delicious chicken and lamb yiros meat with chips and cheese, topped with chilli, barbecue and homemade garlic sauce.",$13.60 ,$17.00,$4.50,$0.80,$14.29 ,$13.39 ,$12.04 ,,$15.00 ,$15.70 ,$15.40 ,14.96,$15.64 ,$16.10 ,$19.50 ,,,,,,,,,,
,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,,,,,,,,
